ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849713::Is Detach,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only],1075848978::Type,1075849001::Min,1075849002::Max,1075849003::Error Message,1075849714::Quote Value,1075849715::Invert Expression,1075849722::Is Not For Replication,1075850193::Dependent Objects  [read only]
"1075839020::1883","CK_SalesPerson_SalesLastYear",Validation Rule,"","CK_SalesPerson_SalesLastYear"," >= 0.00","","","","CK_SalesPerson_SalesLastYear","","CK_SalesPerson_SalesLastYear","CK_SalesPerson_SalesLastYear","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesPerson_SalesLastYear"
"1075839020::1902","CK_SalesPersonQuotaHistory_SalesQuota",Validation Rule,"","CK_SalesPersonQuotaHistory_SalesQuota","[SalesQuota]>(0.00)","","","","CK_SalesPersonQuotaHistory_SalesQuota","","CK_SalesPersonQuotaHistory_SalesQuota","CK_SalesPersonQuotaHistory_SalesQuota","Sales","false","","User-Defined","","","","","","","CK_SalesPersonQuotaHistory_SalesQuota"
"1075839020::1931","CK_SalesTaxRate_TaxType",Validation Rule,"","CK_SalesTaxRate_TaxType"," BETWEEN 1 AND 3","","","","CK_SalesTaxRate_TaxType","","CK_SalesTaxRate_TaxType","CK_SalesTaxRate_TaxType","Sales","false","","MinMax","1","3","","No","false","","CK_SalesTaxRate_TaxType"
"1075839020::1959","CK_SalesTerritory_SalesYTD",Validation Rule,"","CK_SalesTerritory_SalesYTD"," >= 0.00","","","","CK_SalesTerritory_SalesYTD","","CK_SalesTerritory_SalesYTD","CK_SalesTerritory_SalesYTD","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesTerritory_SalesYTD"
"1075839020::1963","CK_SalesTerritory_SalesLastYear",Validation Rule,"","CK_SalesTerritory_SalesLastYear"," >= 0.00","","","","CK_SalesTerritory_SalesLastYear","","CK_SalesTerritory_SalesLastYear","CK_SalesTerritory_SalesLastYear","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesTerritory_SalesLastYear"
"1075839020::1967","CK_SalesTerritory_CostYTD",Validation Rule,"","CK_SalesTerritory_CostYTD"," >= 0.00","","","","CK_SalesTerritory_CostYTD","","CK_SalesTerritory_CostYTD","CK_SalesTerritory_CostYTD","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesTerritory_CostYTD"
"1075839020::1971","CK_SalesTerritory_CostLastYear",Validation Rule,"","CK_SalesTerritory_CostLastYear"," >= 0.00","","","","CK_SalesTerritory_CostLastYear","","CK_SalesTerritory_CostLastYear","CK_SalesTerritory_CostLastYear","Sales","false","","MinMax","0.00","","","No","false","","CK_SalesTerritory_CostLastYear"
"1075839020::2006","CK_SalesTerritoryHistory_EndDate",Validation Rule,"","CK_SalesTerritoryHistory_EndDate","[EndDate]>=[StartDate] OR [EndDate] IS NULL","","","","CK_SalesTerritoryHistory_EndDate","","CK_SalesTerritoryHistory_EndDate","CK_SalesTerritoryHistory_EndDate","Sales","false","","User-Defined","","","","","","","CK_SalesTerritoryHistory_EndDate"
"1075839020::2014","CK_ShoppingCartItem_Quantity",Validation Rule,"","CK_ShoppingCartItem_Quantity"," >= 1","","","","CK_ShoppingCartItem_Quantity","","CK_ShoppingCartItem_Quantity","CK_ShoppingCartItem_Quantity","Sales","false","","MinMax","1","","","No","false","","CK_ShoppingCartItem_Quantity"
"1075839020::2040","CK_SpecialOffer_DiscountPct",Validation Rule,"","CK_SpecialOffer_DiscountPct"," >= 0.00","","","","CK_SpecialOffer_DiscountPct","","CK_SpecialOffer_DiscountPct","CK_SpecialOffer_DiscountPct","Sales","false","","MinMax","0.00","","","No","false","","CK_SpecialOffer_DiscountPct"
"1075839020::2044","CK_SpecialOffer_MinQty",Validation Rule,"","CK_SpecialOffer_MinQty"," >= 0","","","","CK_SpecialOffer_MinQty","","CK_SpecialOffer_MinQty","CK_SpecialOffer_MinQty","Sales","false","","MinMax","0","","","No","false","","CK_SpecialOffer_MinQty"
"1075839020::2048","CK_SpecialOffer_MaxQty",Validation Rule,"","CK_SpecialOffer_MaxQty"," >= 0","","","","CK_SpecialOffer_MaxQty","","CK_SpecialOffer_MaxQty","CK_SpecialOffer_MaxQty","Sales","false","","MinMax","0","","","No","false","","CK_SpecialOffer_MaxQty"
"1075839020::2060","CK_SpecialOffer_EndDate",Validation Rule,"","CK_SpecialOffer_EndDate","[EndDate]>=[StartDate]","","","","CK_SpecialOffer_EndDate","","CK_SpecialOffer_EndDate","CK_SpecialOffer_EndDate","Sales","false","","User-Defined","","","","","","","CK_SpecialOffer_EndDate"
