ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849713::Is Detach,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only],1075848978::Type,1075849001::Min,1075849002::Max,1075849003::Error Message,1075849714::Quote Value,1075849715::Invert Expression,1075849722::Is Not For Replication,1075850193::Dependent Objects  [read only]
"1075839020::1087","CK_Location_Availability",Validation Rule,"","CK_Location_Availability"," >= 0.00","","","","CK_Location_Availability","","CK_Location_Availability","CK_Location_Availability","Production","false","","MinMax","0.00","","","No","false","","CK_Location_Availability"
"1075839020::1128","CK_Product_SafetyStockLevel",Validation Rule,"","CK_Product_SafetyStockLevel","[SafetyStockLevel]>(0)","","","","CK_Product_SafetyStockLevel","","CK_Product_SafetyStockLevel","CK_Product_SafetyStockLevel","Production","false","","User-Defined","","","","","","","CK_Product_SafetyStockLevel"
"1075839020::1130","CK_Product_ReorderPoint",Validation Rule,"","CK_Product_ReorderPoint","[ReorderPoint]>(0)","","","","CK_Product_ReorderPoint","","CK_Product_ReorderPoint","CK_Product_ReorderPoint","Production","false","","User-Defined","","","","","","","CK_Product_ReorderPoint"
"1075839020::1132","CK_Product_StandardCost",Validation Rule,"","CK_Product_StandardCost"," >= 0.00","","","","CK_Product_StandardCost","","CK_Product_StandardCost","CK_Product_StandardCost","Production","false","","MinMax","0.00","","","No","false","","CK_Product_StandardCost"
"1075839020::1134","CK_Product_ListPrice",Validation Rule,"","CK_Product_ListPrice"," >= 0.00","","","","CK_Product_ListPrice","","CK_Product_ListPrice","CK_Product_ListPrice","Production","false","","MinMax","0.00","","","No","false","","CK_Product_ListPrice"
"1075839020::1136","CK_Product_Weight",Validation Rule,"","CK_Product_Weight","[Weight]>(0.00)","","","","CK_Product_Weight","","CK_Product_Weight","CK_Product_Weight","Production","false","","User-Defined","","","","","","","CK_Product_Weight"
"1075839020::1138","CK_Product_DaysToManufacture",Validation Rule,"","CK_Product_DaysToManufacture"," >= 0","","","","CK_Product_DaysToManufacture","","CK_Product_DaysToManufacture","CK_Product_DaysToManufacture","Production","false","","MinMax","0","","","No","false","","CK_Product_DaysToManufacture"
"1075839020::1140","CK_Product_ProductLine",Validation Rule,"","CK_Product_ProductLine","upper([ProductLine])='R' OR upper([ProductLine])='M' OR upper([ProductLine])='T' OR upper([ProductLine])='S' OR [ProductLine] IS NULL","","","","CK_Product_ProductLine","","CK_Product_ProductLine","CK_Product_ProductLine","Production","false","","User-Defined","","","","","","","CK_Product_ProductLine"
"1075839020::1142","CK_Product_Class",Validation Rule,"","CK_Product_Class","upper([Class])='H' OR upper([Class])='M' OR upper([Class])='L' OR [Class] IS NULL","","","","CK_Product_Class","","CK_Product_Class","CK_Product_Class","Production","false","","User-Defined","","","","","","","CK_Product_Class"
"1075839020::1144","CK_Product_Style",Validation Rule,"","CK_Product_Style","upper([Style])='U' OR upper([Style])='M' OR upper([Style])='W' OR [Style] IS NULL","","","","CK_Product_Style","","CK_Product_Style","CK_Product_Style","Production","false","","User-Defined","","","","","","","CK_Product_Style"
"1075839020::1162","CK_Product_SellEndDate",Validation Rule,"","CK_Product_SellEndDate","[SellEndDate]>=[SellStartDate] OR [SellEndDate] IS NULL","","","","CK_Product_SellEndDate","","CK_Product_SellEndDate","CK_Product_SellEndDate","Production","false","","User-Defined","","","","","","","CK_Product_SellEndDate"
